name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
winnipeg,2023-12-21,1.1,-3,-0.4,-2.5,-6.9,-4.1,-3.5,79.9,0,0,0,,0,0,51.8,25.9,190.4,1019.1,61.6,20.8,25.8,2.3,2,10,2023-12-21T08:24:06,2023-12-21T16:29:16,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXWN,CYWG,C8306,CWNK"
winnipeg,2023-12-22,-2.3,-5.3,-3.8,-4.7,-9,-6.9,-4.9,92.2,0,1,0,,0,0,21.2,14.4,184.4,1017.2,61.6,14,26.9,2.2,1,10,2023-12-22T08:24:36,2023-12-22T16:29:47,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
winnipeg,2023-12-23,0.8,-3.4,-1.6,-4.3,-9,-7,-2.9,91.1,0.2,2,8.33,"rain,snow",0,3.6,34.6,23,183.3,1014,39.5,16.3,33.6,3,1,10,2023-12-23T08:25:03,2023-12-23T16:30:21,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
winnipeg,2023-12-24,-1.7,-7,-3.1,-6.9,-13.6,-9.2,-5.3,84.5,0,15,0,,0,4.6,36,24.5,323.3,1014,55.9,20.2,42.8,3.8,2,10,2023-12-24T08:25:27,2023-12-24T16:30:57,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
winnipeg,2023-12-25,-4,-9.6,-7.3,-9.6,-15.4,-12.9,-9.8,82.5,0,3,0,,0,4.5,24.5,16.2,201.7,1015.1,32,24.1,58,5,2,10,2023-12-25T08:25:48,2023-12-25T16:31:37,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
winnipeg,2023-12-26,-3.6,-9.1,-6.9,-8.5,-14.9,-12.4,-9.9,79.5,0,6,0,,0,4.5,20.5,13.7,175.3,1013.7,38.5,24.1,56.3,4.9,2,10,2023-12-26T08:26:05,2023-12-26T16:32:20,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
winnipeg,2023-12-27,-2.8,-8.1,-5.8,-7.6,-13.5,-11,-8.5,81.3,0,4,0,,0,4.4,22.3,14,262.9,1013.3,47.1,23.9,40.5,3.5,2,10,2023-12-27T08:26:20,2023-12-27T16:33:05,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
winnipeg,2023-12-28,-3,-6.7,-5.3,-8.3,-12.8,-10.8,-7.5,84.3,0,2,0,,0,4.4,23.4,15.5,32.1,1018.2,45.6,23.8,54.5,4.8,2,10,2023-12-28T08:26:31,2023-12-28T16:33:53,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
winnipeg,2023-12-29,-5.8,-14.4,-10.9,-11.4,-21.6,-17.9,-13.6,81,0,19.4,0,,0,4.2,34.6,15.8,50.3,1025.7,70.8,23.6,37,3.1,2,10,2023-12-29T08:26:40,2023-12-29T16:34:44,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
winnipeg,2023-12-30,-10,-15.3,-13.6,-17.1,-22.8,-20.9,-17.3,74.2,0,12.9,0,,0,4.1,40,16.2,329.9,1032.7,6.2,23.3,60.9,5.2,3,10,2023-12-30T08:26:45,2023-12-30T16:35:38,0.62,Clear,Clear conditions throughout the day.,clear-day,
winnipeg,2023-12-31,-8.6,-14.5,-12,-14.4,-21.4,-18.2,-14.3,83.1,0,6.5,0,,0,4,32,12.6,311.4,1031.8,52.9,24.1,55.8,4.8,2,10,2023-12-31T08:26:47,2023-12-31T16:36:34,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
winnipeg,2024-01-01,-10.9,-14.2,-12.6,-17.8,-21.4,-19.7,-15,82,0,12.9,0,,0,4,37.4,19.4,333.2,1028.8,56.9,17,51.9,4.5,2,10,2024-01-01T08:26:46,2024-01-01T16:37:33,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
winnipeg,2024-01-02,-13.2,-17,-14.8,-22,-27.5,-24.9,-17.7,78.6,0,6.5,0,,0,5.3,44.3,26.6,334,1029.2,100,1.6,36.9,3.2,2,10,2024-01-02T08:26:41,2024-01-02T16:38:35,0.72,Overcast,Cloudy skies throughout the day.,cloudy,
winnipeg,2024-01-03,-16.3,-18.9,-17.6,-23.8,-27.6,-26.1,-21.2,73.4,0,9.7,0,,0,6,40.7,22.3,295,1031.3,55.5,20.3,60.4,4.9,3,10,2024-01-03T08:26:34,2024-01-03T16:39:39,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
winnipeg,2024-01-04,-16.3,-21.7,-19.8,-25.3,-31.8,-29.2,-23.7,71.2,0,6.5,0,,0,5.9,40.7,19.4,311.9,1029.8,45.4,23.6,60.1,5.1,3,10,2024-01-04T08:26:23,2024-01-04T16:40:45,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
